"","Number.of.states","Prior.distribution.type","Number.of.messages","Impairment","Tolerance","Dynamics","Speaker.entropy","Hearer.entropy","Speaker.convexity","Hearer.convexity","Speaker.Voronoiness","Hearer.Voronoiness","Speaker.informativity","Hearer.informativity","Expected.utility","Iterations","Speaker.Convex.Cat","Hearer.Convex.Cat","Speaker.strategy.file","Hearer.strategy.file","Speaker.meanEU","Hearer.meanEU"
"52",6,"uniform",2,0,0.1,"replicator dynamics",3.17925304962619e-157,0.19073061982367,3.84299165018933e-214,1,0.916666666666667,0.805555555555556,0.693147180559945,0.693147180559945,0.981869909832316,201,0,1,"results/strategies/20140918-142430-073986-speaker.csv","results/strategies/20140918-142430-073986-hearer.csv",0.726553245294611,0.799186789835941
"53",6,"uniform",2,0,0.1,"replicator dynamics",7.75223460211573e-237,0.233945876973003,1,1,1,0.833333333333333,0.693147180559945,0.693147180559945,0.990755862376535,201,1,1,"results/strategies/20140918-142430-837032-speaker.csv","results/strategies/20140918-142430-837032-hearer.csv",0.881812591954571,0.820858429230195
"54",6,"uniform",2,0,0.1,"replicator dynamics",1.77874183606355e-272,0.0494534924177381,1,1,1,0.888888888888889,0.693147180559945,0.693147180559945,0.999678168576656,201,1,1,"results/strategies/20140918-142431-595414-speaker.csv","results/strategies/20140918-142431-595414-hearer.csv",0.881812591954571,0.805459433072864
"55",6,"uniform",2,0,0.1,"replicator dynamics",5.67308207803921e-153,0.227360389987512,0,1,0.833333333333333,0.791666666666667,0.693147180559945,0.693147180559945,0.989862068202889,201,0,1,"results/strategies/20140918-142432-360081-speaker.csv","results/strategies/20140918-142432-360081-hearer.csv",0.782517081444326,0.781256003032042
"56",6,"uniform",2,0,0.1,"replicator dynamics",5.25185774538516e-05,0.538720292697087,9.22877771779248e-13,1,0.833333333333333,0.75,0.693110777658258,0.69314707369554,0.964662550675676,6,0,1,"results/strategies/20140918-142432-716491-speaker.csv","results/strategies/20140918-142432-716491-hearer.csv",0.665614330460064,0.678383845597412
"57",6,"uniform",2,0,0.1,"replicator dynamics",0,0.059945823150184,1,1,1,0.888888888888889,0.693147180559945,0.693147180559945,0.999631280022641,201,1,1,"results/strategies/20140918-142433-469380-speaker.csv","results/strategies/20140918-142433-469380-hearer.csv",0.881812591954571,0.803866946878505
"58",6,"uniform",2,0,0.1,"replicator dynamics",8.1786036930506e-99,0.386667693111535,2.77088976866342e-240,1,0.833333333333333,0.75,0.693147180559945,0.693147180559945,0.973253080642975,137,0,1,"results/strategies/20140918-142434-098169-speaker.csv","results/strategies/20140918-142434-098169-hearer.csv",0.73722838298803,0.783191523024323
"59",6,"uniform",2,0,0.1,"replicator dynamics",3.06656528695536e-157,0.392426805772648,0,1,0.791666666666667,0.763888888888889,0.693147180559945,0.693147180559945,0.97294897586107,201,0,1,"results/strategies/20140918-142434-859992-speaker.csv","results/strategies/20140918-142434-859992-hearer.csv",0.73722838298803,0.765327516607312
"60",6,"uniform",2,0,0.1,"replicator dynamics",6.16442370915254e-119,0.26916590971122,0,1,0.75,0.722222222222222,0.752038698388137,0.752038698388137,0.981138077313126,201,0,1,"results/strategies/20140918-142435-620164-speaker.csv","results/strategies/20140918-142435-620164-hearer.csv",0.733924346275079,0.78677988038093
"61",6,"uniform",2,0,0.1,"replicator dynamics",2.02795586893545e-297,0.189082006554389,1,1,1,0.902777777777778,0.693147180559945,0.693147180559945,0.990851230123856,201,1,1,"results/strategies/20140918-142436-376272-speaker.csv","results/strategies/20140918-142436-376272-hearer.csv",0.881812591954571,0.818360598514982
